Values,Timestamp,1000_MA,5000_MA,Moving_Avg_5
97,2024-06-26 09:57:00,,,97.8
92,2024-06-26 10:58:00,,,92.8
82,2024-06-26 11:49:00,,,82.8
78,2024-06-26 12:01:00,,,78.8
61,2024-06-26 12:55:00,,,61.6
58,2024-06-26 13:06:00,,,58.6
41,2024-06-26 14:05:00,76.711,,41.2
80,2024-06-26 15:53:00,75.225,,80.8
42,2024-06-26 18:14:00,61.595,,42.8
32,2024-06-26 20:57:00,45.873,,32.0
84,2024-06-27 00:33:00,65.218,,84.8
56,2024-06-27 02:32:00,74.131,,56.2
76,2024-06-27 03:54:00,78.557,,76.8
70,2024-06-27 04:24:00,80.802,,70.8
61,2024-06-27 05:04:00,80.991,,61.8
59,2024-06-27 05:11:00,80.418,,59.8
42,2024-06-27 06:20:00,69.681,,42.8
40,2024-06-27 06:33:00,67.173,,40.8
38,2024-06-27 06:54:00,63.091,,38.8
38,2024-06-27 06:59:00,62.228,,38.0
92,2024-06-27 15:25:00,67.994,,92.8
86,2024-06-27 15:52:00,69.503,,86.8
44,2024-06-27 18:33:00,70.311,,44.4
73,2024-06-27 20:38:00,77.325,,73.8
36,2024-06-27 23:03:00,60.802,65.4428,36.8
28,2024-06-28 01:05:00,44.848,60.4856,28.4
88,2024-06-28 11:30:00,70.266,64.2274,88.8
75,2024-06-28 12:54:00,85.741,66.084,75.0
58,2024-06-28 14:02:00,85.496,67.1542,58.0
56,2024-06-28 14:12:00,83.913,67.3072,56.6
47,2024-06-28 14:51:00,78.549,67.6724,47.2
76,2024-06-28 15:45:00,78.16,67.7728,77.2
71,2024-06-28 16:06:00,77.185,68.1248,71.8
65,2024-06-28 16:27:00,75.142,68.7034,65.8
63,2024-06-28 16:34:00,74.425,68.8668,63.8
53,2024-06-28 17:12:00,69.677,69.5504,53.8
48,2024-06-28 17:29:00,68.259,69.5426,48.8
47,2024-06-28 17:33:00,67.499,69.497,47.8
44,2024-06-28 17:47:00,65.34,69.256,44.8
42,2024-06-28 17:58:00,63.783,68.9894,42.6
36,2024-06-28 18:36:00,57.402,67.2994,36.8
32,2024-06-28 19:27:00,50.007,64.9342,32.0
97,2024-06-28 22:25:00,55.602,65.0364,97.8
40,2024-06-29 03:50:00,70.125,66.4578,40.0
81,2024-06-29 05:25:00,65.989,65.6426,81.8
56,2024-06-29 06:46:00,62.85,65.047,56.6
41,2024-06-29 08:19:00,53.885,64.1818,41.8
41,2024-06-29 08:24:00,53.341,64.1576,41.8
38,2024-06-29 09:03:00,49.786,63.2548,38.8
38,2024-06-29 09:14:00,48.689,62.8668,38.0
91,2024-06-29 13:41:00,67.66,67.227,91.6
91,2024-06-29 13:43:00,67.934,67.2998,91.8
66,2024-06-29 17:07:00,86.128,69.256,66.8
64,2024-06-29 17:15:00,85.158,69.098,64.8
38,2024-06-29 19:05:00,70.443,66.5538,38.2
75,2024-06-29 20:10:00,69.765,66.4794,75.8
47,2024-06-29 22:01:00,60.162,66.1028,47.6
32,2024-06-29 23:29:00,50.645,64.3756,32.0
88,2024-06-30 06:06:00,64.56,69.0122,88.8
44,2024-06-30 09:13:00,77.717,66.541,44.2
66,2024-06-30 11:38:00,74.384,66.7962,66.8
59,2024-06-30 12:02:00,72.025,66.7608,59.8
48,2024-06-30 12:27:00,68.995,66.6778,48.6
38,2024-06-30 12:59:00,64.15,66.5702,38.8
33,2024-06-30 13:19:00,60.633,66.4944,33.6
25,2024-06-30 14:42:00,48.837,64.758,25.8
25,2024-06-30 14:48:00,48.332,64.6754,25.0
90,2024-06-30 21:12:00,64.73,70.0752,90.8
82,2024-06-30 22:30:00,78.076,70.1728,82.8
67,2024-06-30 23:40:00,84.928,69.5726,67.8
67,2024-06-30 23:41:00,85.053,69.5568,67.6
67,2024-06-30 23:41:00,85.178,69.541,67.6
60,2024-07-01 00:19:00,87.669,69.009,60.0
79,2024-07-01 01:28:00,86.121,68.8064,79.6
65,2024-07-01 02:52:00,79.668,67.9702,65.8
48,2024-07-01 04:16:00,69.3,66.5426,48.8
47,2024-07-01 04:22:00,68.328,66.4182,47.8
43,2024-07-01 05:08:00,62.772,65.7586,43.0
85,2024-07-01 13:06:00,74.874,69.613,85.8
49,2024-07-01 15:24:00,80.781,71.7466,49.8
46,2024-07-01 15:36:00,79.445,71.8176,46.6
52,2024-07-01 18:52:00,70.285,71.1914,52.6
43,2024-07-01 19:37:00,64.114,69.812,43.6
34,2024-07-01 21:06:00,53.733,66.979,34.4
33,2024-07-01 21:27:00,51.828,66.3694,33.8
32,2024-07-01 21:41:00,50.805,66.0034,32.0
94,2024-07-01 23:42:00,49.596,66.6666,94.8
89,2024-07-02 00:18:00,53.548,66.8714,89.8
61,2024-07-02 02:25:00,63.507,68.0622,61.8
58,2024-07-02 02:55:00,64.434,68.2324,58.0
75,2024-07-02 04:09:00,67.183,68.8098,75.8
63,2024-07-02 05:05:00,72.212,69.9308,63.8
40,2024-07-02 06:50:00,65.564,68.9962,40.8
36,2024-07-02 07:26:00,58.78,67.3924,36.0
93,2024-07-02 15:08:00,65.028,67.4568,93.8
83,2024-07-02 16:11:00,69.07,67.6732,83.8
81,2024-07-02 16:22:00,69.903,67.7264,81.6
80,2024-07-02 16:26:00,70.256,67.751,80.8
70,2024-07-02 17:10:00,73.628,68.02,70.8
53,2024-07-02 18:18:00,78.701,67.4288,53.8
43,2024-07-02 18:54:00,75.962,67.081,43.6
51,2024-07-02 22:09:00,68.279,68.8726,51.8
48,2024-07-02 22:16:00,67.459,68.623,48.8
36,2024-07-02 23:03:00,61.241,66.6408,36.8
34,2024-07-02 23:18:00,59.489,66.0348,34.8
31,2024-07-02 23:43:00,57.414,65.2742,31.8
30,2024-07-02 23:48:00,56.681,64.9936,30.8
29,2024-07-03 00:09:00,55.46,64.509,29.8
29,2024-07-03 00:13:00,54.964,64.3048,29.0
